"carat","cut","color","depth","price","x","y","z"
0.26,"Very Good","D",60.8,403,4.13,4.16,2.52
0.33,"Ideal","I",61.8,403,4.49,4.51,2.78
0.33,"Ideal","I",61.2,403,4.49,4.5,2.75
0.33,"Ideal","J",61.1,403,4.49,4.55,2.76
0.26,"Good","D",65.2,403,3.99,4.02,2.61
0.26,"Good","D",58.4,403,4.19,4.24,2.46
0.32,"Good","H",63.1,403,4.34,4.37,2.75
0.29,"Premium","F",62.4,403,4.24,4.26,2.65
0.32,"Very Good","H",61.8,403,4.35,4.42,2.71
0.32,"Good","H",63.8,403,4.36,4.38,2.79
0.25,"Very Good","E",63.3,404,4,4.03,2.54
0.29,"Very Good","H",60.7,404,4.33,4.37,2.64
0.24,"Very Good","F",60.9,404,4.02,4.03,2.45
0.23,"Ideal","G",61.9,404,3.93,3.95,2.44
0.32,"Ideal","I",60.9,404,4.45,4.48,2.72
0.22,"Premium","E",61.6,404,3.93,3.89,2.41
0.22,"Premium","D",59.3,404,3.91,3.88,2.31
0.3,"Ideal","I",61,405,4.3,4.33,2.63
0.3,"Premium","J",59.3,405,4.43,4.38,2.61
0.3,"Very Good","I",62.6,405,4.25,4.28,2.67
0.3,"Very Good","I",63,405,4.28,4.32,2.71
0.3,"Good","I",63.2,405,4.25,4.29,2.7
0.35,"Ideal","I",60.9,552,4.54,4.59,2.78
0.3,"Premium","D",62.6,552,4.23,4.27,2.66
0.3,"Ideal","D",62.5,552,4.29,4.32,2.69
0.3,"Ideal","D",62.1,552,4.3,4.33,2.68
0.42,"Premium","I",61.5,552,4.78,4.84,2.96
0.28,"Ideal","G",61.4,553,4.19,4.22,2.58
0.32,"Ideal","I",62,553,4.39,4.42,2.73
0.31,"Very Good","G",63.3,553,4.33,4.3,2.73
0.31,"Premium","G",61.8,553,4.35,4.32,2.68
0.24,"Premium","E",60.7,553,4.01,4.03,2.44
0.24,"Very Good","D",61.5,553,3.97,4,2.45
0.3,"Very Good","H",63.1,554,4.29,4.27,2.7
0.3,"Premium","H",62.9,554,4.28,4.24,2.68
0.3,"Premium","H",62.5,554,4.29,4.25,2.67
0.3,"Good","H",63.7,554,4.28,4.26,2.72
0.26,"Very Good","F",59.2,554,4.19,4.22,2.49
0.26,"Very Good","E",59.9,554,4.15,4.23,2.51
0.26,"Very Good","D",62.4,554,4.08,4.13,2.56
0.26,"Very Good","D",62.8,554,4.01,4.05,2.53
0.26,"Very Good","E",62.6,554,4.06,4.09,2.55
0.26,"Very Good","E",63.4,554,4,4.04,2.55
0.26,"Very Good","D",62.1,554,4.03,4.12,2.53
0.26,"Ideal","E",62.9,554,4.02,4.06,2.54
0.38,"Ideal","I",61.6,554,4.65,4.67,2.87
0.26,"Good","E",57.9,554,4.22,4.25,2.45
0.24,"Premium","G",62.3,554,3.95,3.92,2.45
0.24,"Premium","H",61.2,554,4.01,3.96,2.44
0.24,"Premium","H",60.8,554,4.02,4,2.44
0.24,"Premium","H",60.7,554,4.07,4.04,2.46
0.32,"Premium","I",62.9,554,4.35,4.33,2.73
0.7,"Ideal","E",62.5,2757,5.7,5.72,3.57
0.86,"Fair","E",55.1,2757,6.45,6.33,3.52
0.7,"Ideal","G",61.6,2757,5.7,5.67,3.5
0.71,"Very Good","E",62.4,2759,5.68,5.73,3.56
0.78,"Very Good","G",63.8,2759,5.81,5.85,3.72
0.7,"Good","E",57.5,2759,5.85,5.9,3.38
0.7,"Good","F",59.4,2759,5.71,5.76,3.4
0.96,"Fair","F",66.3,2759,6.27,5.95,4.07
0.73,"Very Good","E",61.6,2760,5.77,5.78,3.56
0.8,"Premium","H",61.5,2760,5.97,5.93,3.66
0.75,"Very Good","D",63.2,2760,5.8,5.75,3.65
0.75,"Premium","E",59.9,2760,6,5.96,3.58
0.74,"Ideal","G",61.6,2760,5.8,5.85,3.59
0.75,"Premium","G",61.7,2760,5.85,5.79,3.59
0.8,"Ideal","I",62.9,2760,5.94,5.87,3.72
0.75,"Ideal","G",62.2,2760,5.87,5.8,3.63
0.8,"Premium","G",63,2760,5.9,5.81,3.69
0.74,"Ideal","I",62.3,2761,5.77,5.81,3.61
0.81,"Ideal","F",58.8,2761,6.14,6.11,3.6
0.59,"Ideal","E",62,2761,5.38,5.43,3.35
0.8,"Ideal","F",61.4,2761,5.96,6,3.67
0.74,"Ideal","E",62.2,2761,5.8,5.84,3.62
0.9,"Premium","I",63,2761,6.16,6.12,3.87
0.74,"Very Good","G",62.2,2762,5.73,5.82,3.59
0.73,"Ideal","F",62.6,2762,5.77,5.74,3.6
0.73,"Ideal","F",62.7,2762,5.8,5.75,3.62
0.8,"Premium","F",61.7,2762,5.98,5.94,3.68
0.71,"Ideal","G",62.4,2762,5.72,5.76,3.58
0.7,"Ideal","E",60.7,2762,5.73,5.76,3.49
0.8,"Ideal","F",59.9,2762,6.01,6.07,3.62
0.71,"Ideal","D",62.3,2762,5.73,5.69,3.56
0.74,"Ideal","E",62.3,2762,5.8,5.83,3.62
0.7,"Very Good","F",61.7,2762,5.64,5.61,3.47
0.7,"Fair","F",64.5,2762,5.57,5.53,3.58
0.7,"Fair","F",65.3,2762,5.63,5.58,3.66
0.7,"Premium","F",61.6,2762,5.65,5.59,3.46
0.91,"Premium","H",61.4,2763,6.09,5.97,3.7
0.61,"Very Good","D",59.6,2763,5.56,5.58,3.32
0.91,"Fair","H",64.4,2763,6.11,6.09,3.93
0.91,"Fair","H",65.7,2763,6.03,5.99,3.95
0.77,"Ideal","H",62,2763,5.89,5.86,3.64
0.71,"Very Good","D",63.6,2764,5.64,5.68,3.6
0.71,"Ideal","D",61.9,2764,5.69,5.72,3.53
0.7,"Very Good","E",62.6,2765,5.62,5.65,3.53
0.77,"Very Good","H",61.3,2765,5.88,5.9,3.61
0.63,"Premium","E",60.9,2765,5.52,5.55,3.37
0.71,"Very Good","F",60.1,2765,5.74,5.77,3.46
0.71,"Premium","F",61.8,2765,5.69,5.73,3.53
0.76,"Ideal","H",61.2,2765,5.88,5.91,3.61
0.64,"Ideal","G",61.9,2766,5.53,5.56,3.43
0.71,"Premium","G",60.9,2766,5.78,5.75,3.51
0.71,"Premium","G",59.8,2766,5.89,5.81,3.5
0.7,"Very Good","D",61.8,2767,5.68,5.72,3.52
0.7,"Very Good","F",60,2767,5.8,5.87,3.5
0.71,"Ideal","D",61.6,2767,5.74,5.76,3.54
0.7,"Good","H",62.1,2767,5.62,5.65,3.5
0.71,"Very Good","G",63.3,2768,5.52,5.61,3.52
0.73,"Very Good","D",60.2,2768,5.83,5.87,3.52
0.7,"Very Good","D",61.1,2768,5.66,5.73,3.48
0.7,"Ideal","E",60.9,2768,5.73,5.76,3.5
0.71,"Premium","D",61.7,2768,5.71,5.67,3.51
0.74,"Ideal","I",61.3,2769,5.82,5.86,3.57
0.71,"Premium","D",62.5,2770,5.65,5.61,3.52
0.73,"Premium","G",61.4,2770,5.83,5.76,3.56
0.76,"Very Good","F",62.9,2770,5.79,5.81,3.65
0.76,"Ideal","D",62.4,2770,5.78,5.83,3.62
0.71,"Ideal","F",60.7,2770,5.77,5.8,3.51
0.73,"Premium","G",60.7,2770,5.87,5.82,3.55
0.73,"Premium","G",61.5,2770,5.79,5.75,3.55
0.73,"Ideal","D",59.9,2770,5.92,5.89,3.54
0.73,"Premium","G",59.2,2770,5.92,5.87,3.49
0.72,"Very Good","H",60.3,2771,5.81,5.83,3.51
0.73,"Very Good","F",61.7,2771,5.79,5.82,3.58
0.71,"Ideal","G",61.9,2771,5.73,5.77,3.56
0.79,"Ideal","F",61.9,2771,5.97,5.92,3.68
0.73,"Very Good","H",60.4,2772,5.83,5.89,3.54
0.8,"Very Good","F",61,2772,6.01,6.03,3.67
0.58,"Ideal","G",61.5,2772,5.39,5.44,3.33
0.58,"Ideal","F",61.7,2772,5.33,5.37,3.3
0.71,"Good","E",59.2,2772,5.8,5.88,3.46
0.75,"Ideal","D",61.3,2773,5.85,5.89,3.6
0.7,"Premium","D",58,2773,5.87,5.78,3.38
1.17,"Very Good","J",60.2,2774,6.83,6.9,4.13
0.6,"Ideal","E",61.7,2774,5.41,5.44,3.35
0.7,"Ideal","E",62.7,2774,5.68,5.74,3.58
0.83,"Good","I",64.6,2774,5.85,5.88,3.79
0.74,"Very Good","F",61.3,2775,5.8,5.84,3.57
0.72,"Very Good","G",63.7,2776,5.62,5.69,3.61
0.71,"Premium","E",62.7,2776,5.74,5.68,3.58
0.71,"Ideal","E",62.2,2776,5.79,5.62,3.55
0.54,"Ideal","E",61.6,2776,5.25,5.27,3.24
0.54,"Ideal","E",61.5,2776,5.24,5.26,3.23
0.72,"Ideal","G",61.8,2776,5.72,5.75,3.55
0.72,"Ideal","G",60.7,2776,5.79,5.82,3.53
0.72,"Good","G",59.7,2776,5.8,5.84,3.47
0.71,"Ideal","G",60.5,2776,5.8,5.76,3.5
0.7,"Very Good","D",62.7,2777,5.66,5.73,3.57
0.71,"Premium","F",62.1,2777,5.67,5.7,3.53
0.71,"Very Good","F",62.8,2777,5.64,5.69,3.56
0.71,"Good","F",63.8,2777,5.61,5.64,3.59
0.71,"Good","F",57.8,2777,5.87,5.9,3.4
0.7,"Ideal","E",62.1,2777,5.7,5.67,3.53
0.7,"Premium","E",61.1,2777,5.71,5.64,3.47
0.7,"Premium","E",60,2777,5.79,5.75,3.46
0.7,"Premium","E",61.2,2777,5.73,5.68,3.49
0.7,"Premium","E",62.7,2777,5.67,5.63,3.54
0.7,"Premium","E",61,2777,5.73,5.68,3.48
0.7,"Premium","E",61,2777,5.78,5.72,3.51
0.7,"Ideal","E",61.4,2777,5.76,5.7,3.52
0.72,"Premium","F",61.8,2777,5.82,5.71,3.56
0.7,"Very Good","E",59.9,2777,5.76,5.7,3.43
0.7,"Premium","E",61.3,2777,5.71,5.68,3.49
0.7,"Premium","E",60.5,2777,5.77,5.74,3.48
0.7,"Good","E",64.1,2777,5.64,5.59,3.6
0.98,"Fair","H",67.9,2777,6.05,5.97,4.08
0.78,"Premium","F",62.4,2777,5.83,5.8,3.63
0.7,"Very Good","E",63.2,2777,5.6,5.51,3.51
0.52,"Ideal","F",61.3,2778,5.19,5.22,3.19
0.73,"Very Good","H",60.8,2779,5.82,5.84,3.55
0.74,"Ideal","E",61.7,2779,5.84,5.8,3.59
0.7,"Very Good","F",63.6,2780,5.61,5.65,3.58
0.77,"Premium","G",61.2,2780,5.9,5.93,3.62
0.71,"Ideal","F",62.1,2780,5.68,5.72,3.54
0.74,"Ideal","G",61.5,2780,5.81,5.86,3.59
0.7,"Ideal","G",61.4,2780,5.64,5.73,3.49
1.01,"Premium","F",61.8,2781,6.39,6.36,3.94
0.77,"Ideal","H",62.2,2781,5.83,5.88,3.64
0.78,"Ideal","H",61.2,2781,5.92,5.99,3.64
0.72,"Very Good","H",60.6,2782,5.83,5.76,3.51
0.53,"Very Good","D",57.5,2782,5.34,5.37,3.08
0.76,"Ideal","G",61.3,2782,5.9,5.94,3.63
0.7,"Good","E",57.2,2782,5.81,5.77,3.31
0.7,"Premium","E",62.9,2782,5.62,5.54,3.51
0.75,"Very Good","D",63.1,2782,5.78,5.73,3.63
0.72,"Ideal","D",60.8,2782,5.76,5.75,3.5
0.72,"Premium","D",62.7,2782,5.73,5.69,3.58
0.7,"Premium","D",62.8,2782,5.68,5.66,3.56
0.84,"Fair","G",55.1,2782,6.39,6.2,3.47
0.75,"Premium","F",61.4,2782,5.88,5.85,3.6
0.52,"Ideal","F",62.2,2783,5.14,5.18,3.21
0.72,"Very Good","F",63,2784,5.69,5.73,3.6
0.79,"Very Good","H",63.7,2784,5.85,5.92,3.75
0.72,"Very Good","F",63.6,2787,5.66,5.69,3.61
0.51,"Ideal","F",62,2787,5.11,5.15,3.18
0.64,"Ideal","D",61.5,2787,5.54,5.55,3.41
0.7,"Very Good","H",60.5,2788,5.74,5.77,3.48
0.83,"Very Good","I",61.1,2788,6.07,6.1,3.72
0.76,"Ideal","I",61.8,2788,5.85,5.87,3.62
0.71,"Good","D",63.3,2788,5.64,5.68,3.58
0.77,"Good","G",59.4,2788,5.97,5.92,3.53
0.71,"Ideal","F",62.5,2788,5.71,5.65,3.55
1.01,"Fair","E",64.5,2788,6.29,6.21,4.03
1.01,"Premium","H",62.7,2788,6.31,6.22,3.93
0.77,"Good","F",64.2,2789,5.81,5.77,3.72
0.76,"Good","E",63.7,2789,5.76,5.85,3.7
0.76,"Premium","E",60.4,2789,5.92,5.94,3.58
0.76,"Premium","E",61.8,2789,5.82,5.86,3.61
1.05,"Very Good","J",63.2,2789,6.49,6.45,4.09
0.81,"Ideal","G",61.6,2789,5.97,6.01,3.69
0.7,"Ideal","E",61.6,2789,5.72,5.75,3.53
0.55,"Ideal","G",60.9,2789,5.28,5.3,3.22
0.81,"Good","G",61,2789,5.94,5.99,3.64
0.63,"Premium","E",62.1,2789,5.48,5.41,3.38
0.63,"Premium","E",60.9,2789,5.55,5.52,3.37
0.77,"Premium","H",61.3,2789,5.9,5.88,3.61
1.05,"Fair","J",65.8,2789,6.41,6.27,4.18
0.64,"Ideal","G",61.3,2790,5.54,5.58,3.41
0.76,"Premium","I",58.8,2790,6,5.94,3.51
0.83,"Ideal","F",62.3,2790,6.02,6.05,3.76
0.71,"Premium","F",60.1,2790,5.77,5.74,3.46
0.71,"Premium","F",61.8,2790,5.73,5.69,3.53
0.87,"Very Good","I",63.6,2791,6.07,6.1,3.87
0.73,"Ideal","E",62.2,2791,5.74,5.78,3.58
0.71,"Premium","E",59.2,2792,5.83,5.86,3.46
0.71,"Premium","E",61.8,2792,5.7,5.75,3.54
0.71,"Ideal","E",61.3,2792,5.72,5.77,3.52
0.7,"Premium","F",62.1,2792,5.71,5.65,3.53
0.7,"Premium","F",60.7,2792,5.78,5.75,3.5
0.76,"Premium","H",59.6,2792,5.91,5.86,3.51
0.7,"Ideal","F",62.2,2792,5.73,5.68,3.55
0.79,"Very Good","G",60.6,2793,5.98,6.06,3.65
0.7,"Very Good","E",62.9,2793,5.66,5.69,3.57
0.7,"Good","E",64.1,2793,5.6,5.66,3.61
0.76,"Ideal","I",61.3,2793,5.87,5.91,3.61
0.73,"Ideal","H",62.7,2793,5.72,5.76,3.6
0.79,"Very Good","E",63.2,2794,5.91,5.86,3.72
0.71,"Very Good","E",60.7,2795,5.81,5.82,3.53
0.81,"Premium","I",61.9,2795,5.91,5.86,3.64
0.81,"Ideal","F",62.6,2795,5.92,5.96,3.72
0.72,"Good","F",60.7,2795,5.74,5.72,3.48
0.72,"Premium","D",62,2795,5.73,5.69,3.54
0.72,"Premium","I",63,2795,5.72,5.7,3.6
0.81,"Premium","H",58,2795,6.17,6.13,3.57
0.72,"Premium","G",62.9,2795,5.73,5.65,3.58
1,"Premium","I",58.2,2795,6.61,6.55,3.83
0.73,"Good","E",63.2,2796,5.7,5.76,3.62
0.81,"Very Good","H",61.3,2797,5.94,6.01,3.66
0.81,"Very Good","E",60.3,2797,6.07,6.1,3.67
0.71,"Premium","D",62.7,2797,5.67,5.71,3.57
0.71,"Premium","D",61.3,2797,5.73,5.75,3.52
0.71,"Premium","D",61.6,2797,5.74,5.69,3.52
0.57,"Ideal","F",61.9,2797,5.34,5.35,3.31
0.51,"Ideal","D",61.7,2797,5.12,5.16,3.17
0.72,"Ideal","G",61.9,2797,5.72,5.75,3.55
0.74,"Ideal","H",61.8,2797,5.77,5.81,3.58
0.74,"Ideal","H",61.6,2797,5.81,5.82,3.58
0.7,"Fair","G",58.8,2797,5.81,5.9,3.44
0.8,"Premium","F",61,2797,6.03,6.01,3.67
1.01,"Fair","E",67.4,2797,6.19,6.05,4.13
0.8,"Very Good","H",63.4,2797,5.92,5.82,3.72
0.77,"Ideal","I",61.5,2798,5.87,5.91,3.62
0.83,"Very Good","E",58,2799,6.19,6.25,3.61
0.82,"Ideal","F",62.4,2799,5.97,6.02,3.74
0.78,"Ideal","D",61.9,2799,5.91,5.86,3.64
0.6,"Very Good","G",61.6,2800,5.43,5.46,3.35
0.9,"Good","I",62.2,2800,6.07,6.11,3.79
0.7,"Premium","E",62.2,2800,5.6,5.66,3.5
0.9,"Very Good","I",61.3,2800,6.17,6.23,3.8
0.83,"Ideal","G",62.3,2800,5.99,6.08,3.76
0.83,"Ideal","G",61.8,2800,6.03,6.07,3.74
0.83,"Very Good","H",62.5,2800,5.95,6.02,3.74
0.74,"Premium","G",62.9,2800,5.74,5.68,3.59
0.79,"Ideal","I",61.8,2800,5.92,5.95,3.67
0.61,"Ideal","G",62.3,2800,5.43,5.45,3.39
0.76,"Fair","G",59,2800,5.89,5.8,3.46
0.96,"Ideal","F",60.7,2801,6.37,6.41,3.88
0.73,"Ideal","F",62.5,2801,5.8,5.76,3.61
0.73,"Premium","F",62.7,2801,5.76,5.7,3.59
0.75,"Ideal","H",60.4,2801,5.93,5.96,3.59
0.71,"Premium","F",62.1,2801,5.7,5.67,3.53
0.71,"Good","F",57.8,2801,5.9,5.87,3.4
0.71,"Good","F",63.8,2801,5.64,5.61,3.59
0.71,"Premium","F",62.8,2801,5.69,5.64,3.56
1.04,"Premium","G",62.2,2801,6.46,6.41,4
1,"Premium","J",62.3,2801,6.45,6.34,3.98
0.87,"Very Good","G",59.9,2802,6.19,6.23,3.72
0.53,"Ideal","F",61.9,2802,5.22,5.25,3.24
0.72,"Premium","E",63,2802,5.79,5.61,3.59
0.72,"Premium","F",62.4,2802,5.83,5.7,3.6
0.7,"Very Good","F",62.9,2803,5.63,5.65,3.55
0.74,"Very Good","E",63.5,2803,5.74,5.79,3.66
0.71,"Ideal","G",61.3,2803,5.75,5.71,3.51
0.73,"Ideal","E",60.6,2803,5.84,5.89,3.55
0.7,"Good","G",65.1,2803,5.56,5.59,3.63
0.71,"Premium","F",62.6,2803,5.7,5.67,3.56
0.71,"Premium","F",58,2803,5.85,5.81,3.38
0.71,"Premium","G",62.4,2803,5.7,5.65,3.54
0.77,"Premium","G",61.3,2803,5.93,5.88,3.62
0.71,"Premium","G",59.9,2803,5.81,5.77,3.47
0.78,"Premium","G",60.8,2803,6.03,5.95,3.64
0.71,"Very Good","G",63.5,2803,5.66,5.64,3.59
0.91,"Ideal","D",62.2,2803,6.21,6.15,3.85
0.71,"Very Good","E",63.8,2804,5.62,5.66,3.6
0.71,"Very Good","E",64,2804,5.66,5.68,3.63
0.8,"Very Good","E",62.5,2804,5.88,5.96,3.7
0.7,"Very Good","D",62.3,2804,5.69,5.73,3.56
0.72,"Ideal","F",61.7,2804,5.74,5.77,3.55
0.72,"Very Good","F",62.2,2804,5.75,5.7,3.56
0.82,"Ideal","H",61.5,2804,6.01,6.08,3.72
0.7,"Ideal","D",61,2804,5.68,5.7,3.47
0.72,"Ideal","D",62.2,2804,5.74,5.77,3.58
0.72,"Ideal","D",61.5,2804,5.77,5.8,3.56
0.9,"Fair","I",67.3,2804,5.93,5.84,3.96
0.74,"Premium","F",61.7,2805,5.85,5.78,3.59
0.74,"Premium","F",61.9,2805,5.8,5.77,3.58
0.73,"Ideal","E",61.8,2805,5.77,5.81,3.58
0.57,"Fair","E",58.7,2805,5.34,5.43,3.16
0.73,"Premium","F",62.5,2805,5.75,5.7,3.58
0.72,"Ideal","G",62.8,2805,5.74,5.7,3.59
0.74,"Fair","F",61.1,2805,5.82,5.75,3.53
0.82,"Good","G",64,2805,5.92,5.89,3.78
0.81,"Very Good","G",62.5,2806,5.89,5.94,3.69
0.75,"Very Good","H",60.6,2806,5.85,5.9,3.56
0.7,"Ideal","F",61.6,2806,5.72,5.74,3.53
0.71,"Very Good","F",62.2,2807,5.66,5.72,3.54
0.71,"Very Good","F",60,2807,5.84,5.9,3.52
0.93,"Premium","J",61.9,2807,6.21,6.19,3.84
0.8,"Very Good","H",62.8,2808,5.87,5.91,3.7
0.7,"Very Good","F",62,2808,5.64,5.71,3.52
1,"Fair","G",66.4,2808,6.16,6.09,4.07
0.75,"Very Good","G",63.4,2808,5.78,5.74,3.65
0.58,"Ideal","E",60.9,2808,5.41,5.43,3.3
0.73,"Very Good","D",63.1,2808,5.74,5.7,3.61
0.81,"Very Good","F",63.1,2809,5.85,5.79,3.67
0.81,"Premium","D",59.2,2809,6.15,6.05,3.61
0.71,"Premium","F",60.7,2809,5.84,5.8,3.53
1.2,"Fair","F",64.6,2809,6.73,6.66,4.33
0.7,"Very Good","F",61.8,2810,5.63,5.7,3.5
0.7,"Very Good","F",59.9,2810,5.77,5.84,3.48
0.74,"Ideal","D",61.7,2810,5.81,5.85,3.6
0.7,"Good","F",62.8,2810,5.57,5.61,3.51
0.8,"Good","G",62.7,2810,5.84,5.93,3.69
0.75,"Very Good","F",63.4,2811,5.72,5.76,3.64
0.83,"Very Good","D",63.5,2811,5.98,5.95,3.79
1,"Fair","J",65.7,2811,6.14,6.07,4.01
0.99,"Fair","I",68.1,2811,6.21,6.06,4.18
0.7,"Very Good","G",63,2812,5.57,5.64,3.53
0.7,"Very Good","F",59.5,2812,5.75,5.85,3.45
0.7,"Good","E",63.5,2812,5.49,5.53,3.5
0.7,"Very Good","F",61.7,2812,5.63,5.69,3.49
0.32,"Premium","I",62.7,554,4.37,4.34,2.73
0.32,"Premium","I",62.8,554,4.39,4.34,2.74
0.32,"Ideal","I",62.4,554,4.37,4.35,2.72
0.32,"Premium","I",61,554,4.39,4.36,2.67
0.32,"Very Good","I",63.1,554,4.39,4.36,2.76
0.32,"Ideal","I",60.7,554,4.47,4.42,2.7
0.3,"Premium","H",60.9,554,4.31,4.29,2.62
0.3,"Premium","H",60.1,554,4.41,4.38,2.64
0.3,"Premium","H",62.9,554,4.28,4.24,2.68
0.3,"Very Good","H",63.3,554,4.29,4.27,2.71
0.3,"Good","H",63.8,554,4.26,4.2,2.7
0.3,"Ideal","H",62.9,554,4.27,4.22,2.67
0.3,"Very Good","H",63.4,554,4.25,4.23,2.69
0.32,"Good","I",63.9,554,4.36,4.34,2.78
0.33,"Ideal","H",61.4,554,4.85,4.79,2.95
0.29,"Very Good","E",61.9,555,4.28,4.33,2.66
0.29,"Very Good","E",62.4,555,4.2,4.25,2.63
0.31,"Very Good","F",61.8,555,4.32,4.35,2.68
0.34,"Ideal","H",61.5,555,4.47,4.5,2.76
0.34,"Ideal","H",60.4,555,4.54,4.57,2.75
0.34,"Ideal","I",61.8,555,4.48,4.52,2.78
0.34,"Ideal","I",62,555,4.5,4.53,2.8
0.3,"Ideal","G",62.3,555,4.29,4.31,2.68
0.29,"Ideal","F",61.6,555,4.26,4.31,2.64
0.35,"Ideal","G",60.6,555,4.56,4.58,2.77
0.43,"Very Good","E",58.4,555,4.94,5,2.9
0.32,"Very Good","F",61.4,556,4.37,4.42,2.7
0.36,"Ideal","I",61.9,556,4.54,4.57,2.82
0.3,"Ideal","G",62,556,4.28,4.3,2.66
0.26,"Ideal","E",61.5,556,4.09,4.12,2.52
0.7,"Very Good","F",62.3,2812,5.64,5.72,3.54
0.7,"Very Good","F",60.9,2812,5.66,5.71,3.46
0.71,"Ideal","D",62.4,2812,5.69,5.72,3.56
0.99,"Fair","J",55,2812,6.72,6.67,3.68
0.73,"Premium","E",58.6,2812,5.92,5.89,3.46
0.51,"Ideal","F",62,2812,5.15,5.11,3.18
0.91,"Premium","G",59.8,2813,6.3,6.29,3.77
0.84,"Very Good","E",63.4,2813,6,5.95,3.79
0.91,"Good","I",64.3,2813,6.09,6.05,3.9
0.76,"Premium","E",62.2,2814,5.86,5.81,3.63
0.76,"Ideal","E",61.7,2814,5.88,5.85,3.62
0.75,"Premium","E",61.1,2814,5.86,5.83,3.57
0.55,"Very Good","D",61.5,2815,5.23,5.27,3.23
0.76,"Very Good","F",58.5,2815,5.93,6.01,3.49
0.74,"Premium","G",61.7,2815,5.79,5.81,3.58
0.7,"Ideal","H",60.4,2815,5.75,5.81,3.49
0.7,"Ideal","H",61.4,2815,5.7,5.76,3.52
0.7,"Ideal","H",61.5,2815,5.73,5.79,3.54
0.7,"Ideal","H",61.4,2815,5.72,5.77,3.53
0.9,"Fair","J",65,2815,6.08,6.04,3.94
0.95,"Fair","F",56,2815,6.62,6.53,3.68
0.89,"Premium","H",60.2,2815,6.26,6.23,3.76
0.72,"Premium","E",58.3,2815,5.99,5.92,3.47
0.96,"Fair","E",53.1,2815,6.73,6.65,3.55
1.02,"Premium","G",60.3,2815,6.55,6.5,3.94
0.78,"Very Good","I",61.4,2816,5.91,5.95,3.64
0.61,"Ideal","G",60.1,2816,5.52,5.54,3.32
0.71,"Good","D",63.4,2816,5.61,5.69,3.58
0.78,"Premium","F",61.5,2816,5.96,5.88,3.64
0.87,"Ideal","H",62.7,2816,6.16,6.13,3.85
0.83,"Ideal","H",62.5,2816,6.04,6,3.76
0.71,"Premium","E",61.3,2817,5.78,5.73,3.53
0.71,"Ideal","I",60.2,2817,5.84,5.89,3.53
0.71,"Ideal","E",62.7,2817,5.66,5.64,3.54
0.71,"Premium","E",62.3,2817,5.69,5.65,3.53
0.63,"Ideal","F",61.5,2817,5.48,5.52,3.38
0.71,"Premium","E",59.2,2817,5.86,5.83,3.46
0.71,"Premium","E",61.8,2817,5.75,5.7,3.54
0.71,"Ideal","E",61.3,2817,5.77,5.72,3.52
0.71,"Premium","E",61.4,2817,5.77,5.73,3.53
0.9,"Ideal","J",62.8,2817,6.2,6.16,3.88
0.71,"Good","E",62.8,2817,5.6,5.54,3.5
0.7,"Premium","E",62.4,2818,5.66,5.63,3.52
0.7,"Premium","E",59.3,2818,5.78,5.73,3.41
0.7,"Premium","E",63,2818,5.64,5.6,3.54
1,"Premium","H",61.3,2818,6.43,6.39,3.93
